ano_criacao_processo;numero_processo_formatado;situacao_item_processo;numero_item_processo;codigo_elemento_item_despesa;nome_elemento_item_despesa;codigo_item_material_servico_numerico;item_material_servico;unnamed_8;unnamed_9;unnamed_10;quantidade_item_pedido;valor_unitario_referencia_item_pedido;valor_total_referencia_item_pedido
2026;0500005 000001/2026;Homologado/Ratificado;1;4003;SERVICO DE INFORMATICA EXECUTADO PELA PRODEMGE;147427;GESTAO DA REDE IP MULTISERVICOS  - ENGLOBANDO SEGURANCA, CONEXAO DE ALTA DISPONIBILIDADE E GERENCIAMENTO DA REDE;;;;1;564,0;318096,0
2026;0500005 000001/2026;Homologado/Ratificado;2;4003;SERVICO DE INFORMATICA EXECUTADO PELA PRODEMGE;36757;INTEGRACAO A REDE GOVERNO;;;;1;164,0;1968,0
2026;0500005 000001/2026;Homologado/Ratificado;3;4003;SERVICO DE INFORMATICA EXECUTADO PELA PRODEMGE;147427;GESTAO DA REDE IP MULTISERVICOS  - ENGLOBANDO SEGURANCA, CONEXAO DE ALTA DISPONIBILIDADE E GERENCIAMENTO DA REDE;;;;1;59,0;33276,0
2026;0500005 000001/2026;Homologado/Ratificado;4;4003;SERVICO DE INFORMATICA EXECUTADO PELA PRODEMGE;83038;GERENCIAMENTO DE NIVEL DE SERVICOS DA REDE IP MULTISSERVICOS;;;;1;70,0;840,0
2026;0500005 000001/2026;Homologado/Ratificado;5;4003;SERVICO DE INFORMATICA EXECUTADO PELA PRODEMGE;147427;GESTAO DA REDE IP MULTISERVICOS  - ENGLOBANDO SEGURANCA, CONEXAO DE ALTA DISPONIBILIDADE E GERENCIAMENTO DA REDE;;;;1;208,0;4992,0
2026;0500005 000001/2026;Homologado/Ratificado;6;4003;SERVICO DE INFORMATICA EXECUTADO PELA PRODEMGE;147427;GESTAO DA REDE IP MULTISERVICOS  - ENGLOBANDO SEGURANCA, CONEXAO DE ALTA DISPONIBILIDADE E GERENCIAMENTO DA REDE;;;;1;260,0;37440,0
2026;0500005 000001/2026;Homologado/Ratificado;7;4003;SERVICO DE INFORMATICA EXECUTADO PELA PRODEMGE;147427;GESTAO DA REDE IP MULTISERVICOS  - ENGLOBANDO SEGURANCA, CONEXAO DE ALTA DISPONIBILIDADE E GERENCIAMENTO DA REDE;;;;1;294,0;45864,0
2026;0500005 000001/2026;Homologado/Ratificado;8;4003;SERVICO DE INFORMATICA EXECUTADO PELA PRODEMGE;147427;GESTAO DA REDE IP MULTISERVICOS  - ENGLOBANDO SEGURANCA, CONEXAO DE ALTA DISPONIBILIDADE E GERENCIAMENTO DA REDE;;;;1;450,0;27000,0
2026;0500005 000001/2026;Homologado/Ratificado;9;4003;SERVICO DE INFORMATICA EXECUTADO PELA PRODEMGE;147427;GESTAO DA REDE IP MULTISERVICOS  - ENGLOBANDO SEGURANCA, CONEXAO DE ALTA DISPONIBILIDADE E GERENCIAMENTO DA REDE;;;;1;500,0;138000,0
2026;0500005 000001/2026;Homologado/Ratificado;10;4003;SERVICO DE INFORMATICA EXECUTADO PELA PRODEMGE;34827;CONEXAO DE ALTA DISPONIBILIDADE A INTERNET -;;;;1;3885,0;46620,0
2026;0500005 000001/2026;Homologado/Ratificado;11;4003;SERVICO DE INFORMATICA EXECUTADO PELA PRODEMGE;100064;ASSOCIACAO DE ENDERECO IP A TERMINAL -;;;;1;49,0;529200,0
2026;0500005 000001/2026;Homologado/Ratificado;12;4003;SERVICO DE INFORMATICA EXECUTADO PELA PRODEMGE;147427;GESTAO DA REDE IP MULTISERVICOS  - ENGLOBANDO SEGURANCA, CONEXAO DE ALTA DISPONIBILIDADE E GERENCIAMENTO DA REDE;;;;1;785,0;9420,0
2026;0500005 000001/2026;Homologado/Ratificado;13;4003;SERVICO DE INFORMATICA EXECUTADO PELA PRODEMGE;147427;GESTAO DA REDE IP MULTISERVICOS  - ENGLOBANDO SEGURANCA, CONEXAO DE ALTA DISPONIBILIDADE E GERENCIAMENTO DA REDE;;;;1;1932,0;115920,0
2026;0500005 000002/2026;Homologado/Ratificado;1;3921;REPAROS DE EQUIPAMENTOS, INSTALACOES E MATERIAL PERMANENTE;55964;DESINSTALACAO, DESMONTAGEM E TRANSPORTE DE EQUIPAMENTO MEDI CO;;;;1;23050,0;23050,0
2026;0500005 000003/2026;Homologado/Ratificado;1;3924;CURSOS, EXPOSICOES, CONGRESSOS E CONFERENCIAS;23000;DESPESA REFERENTE A INSCRICAO DE SERVIDOR OU CIDADAO PARA PARTICIPAR DE CONGRESSO;;;;1;3965,6;23793,6
2026;0501044 000002/2026;Homologado/Ratificado;1;3013;MATERIAIS DE LABORATORIO E PRODUTOS QUIMICOS EM GERAL;503479;"TERMOMETRO - ESCALA: -10 A +50 GRAUS CELSIUS, DIVISAO DE 0,1ºC; GRAU DE PRECISAO: -; APLICACAO: SISTEMA DE REFRIGERACAO; TIPO: DIGITAL, COM CABO EXTENSOR DE APROX. 3 METROS; FIXACAO: RESETE INDIVIDUAL, COM FIXADOR;";;;;1;64,995;974,92
