ano_criacao_processo;numero_processo_formatado;numero_contrato;descricao_tipo_de_contrato;procedimento_contratacao_detalhamento_1;edital_retificacao_arquivos;contrato_termoaditivo_arquivos;numero_parecer_juridico
2025;0250457 000002/2025;0;;Dispensa de Licitação - Por valor;;;
2025;0250457 000003/2025;0;;Dispensa de Licitação - Por valor;;;
2025;0250457 000005/2025;0;;Dispensa de Licitação - Por valor;;;
2025;0250457 000007/2025;9471944;Serviço e Fornecimento;Dispensa de Licitação - Por valor;;https://www1.compras.mg.gov.br/contrato/gestaocontratos/arquivosContrato.html?idContrato=196741;
2025;0250457 000007/2025;9471963;Serviço e Fornecimento;Dispensa de Licitação - Por valor;;https://www1.compras.mg.gov.br/contrato/gestaocontratos/arquivosContrato.html?idContrato=196712;
2025;0250457 000008/2025;0;;Dispensa de Licitação - Por valor;;;
2025;0250457 000009/2025;0;;Dispensa de Licitação - Por valor;;;
2025;0250457 000010/2025;0;;Dispensa de Licitação - Por valor;;;
2025;0250457 000011/2025;9468317;Serviço e Fornecimento;Pregão;https://www1.compras.mg.gov.br/processocompra/processo/consultaEditalRetificaoProcesso.html?metodo=visualizarEditalRetificao&id=624929;https://www1.compras.mg.gov.br/contrato/gestaocontratos/arquivosContrato.html?idContrato=195308;
2025;0250457 000013/2025;0;;Dispensa de Licitação - Por valor;;;
2025;0250457 000014/2025;0;;Dispensa de Licitação - Por valor;;;
2025;0250457 000015/2025;0;;Dispensa de Licitação - Por valor;;;
2025;0250457 000016/2025;0;;Dispensa de Licitação - Por valor;;;
2025;0250457 000017/2025;0;;Dispensa de Licitação - Por valor;;;
2025;0250457 000019/2025;0;;Registro de preços realizado no SIRP;;;
2025;0250457 000020/2025;0;;Dispensa de Licitação - Por valor;;;
2025;0250457 000021/2025;9473310;Serviço;Pregão;https://www1.compras.mg.gov.br/processocompra/processo/consultaEditalRetificaoProcesso.html?metodo=visualizarEditalRetificao&id=629499;https://www1.compras.mg.gov.br/contrato/gestaocontratos/arquivosContrato.html?idContrato=197197;
2025;0250457 000021/2025;9473404;Serviço;Pregão;https://www1.compras.mg.gov.br/processocompra/processo/consultaEditalRetificaoProcesso.html?metodo=visualizarEditalRetificao&id=629499;https://www1.compras.mg.gov.br/contrato/gestaocontratos/arquivosContrato.html?idContrato=197238;
2025;0250457 000021/2025;9474053;Serviço;Pregão;https://www1.compras.mg.gov.br/processocompra/processo/consultaEditalRetificaoProcesso.html?metodo=visualizarEditalRetificao&id=629499;https://www1.compras.mg.gov.br/contrato/gestaocontratos/arquivosContrato.html?idContrato=197378;
2025;0250457 000022/2025;9474695;Serviço;Dispensa de Licitação - Por valor;;https://www1.compras.mg.gov.br/contrato/gestaocontratos/arquivosContrato.html?idContrato=197551;
2025;0250457 000023/2025;0;;Dispensa de Licitação - Por valor;;;
2025;0250457 000024/2025;0;;Dispensa de Licitação - Por valor;;;
2025;0250457 000026/2025;9475104;Fornecimento;Dispensa de Licitação - Por valor;;https://www1.compras.mg.gov.br/contrato/gestaocontratos/arquivosContrato.html?idContrato=197631;
2025;0250457 000026/2025;9475134;Fornecimento;Dispensa de Licitação - Por valor;;https://www1.compras.mg.gov.br/contrato/gestaocontratos/arquivosContrato.html?idContrato=197687;
2025;0250457 000027/2025;9473980;Serviço;Dispensa de Licitação - Por valor;;https://www1.compras.mg.gov.br/contrato/gestaocontratos/arquivosContrato.html?idContrato=197339;
2025;0250457 000028/2025;0;;Dispensa de Licitação - Por valor;;;
2025;0250457 000030/2025;0;;Dispensa de Licitação - Por valor;;;
2025;0250457 000031/2025;0;;Dispensa de Licitação - Por valor;;;
2025;0250457 000032/2025;9490899;Serviço e Fornecimento;Dispensa de Licitação - Por valor;;https://www1.compras.mg.gov.br/contrato/gestaocontratos/arquivosContrato.html?idContrato=201898;
2025;0250457 000033/2025;9480218;Serviço e Fornecimento;Dispensa de Licitação - Por valor;;https://www1.compras.mg.gov.br/contrato/gestaocontratos/arquivosContrato.html?idContrato=198684;
2025;0250457 000035/2025;9479524;Serviço;Dispensa de Licitação - Por valor;;https://www1.compras.mg.gov.br/contrato/gestaocontratos/arquivosContrato.html?idContrato=198557;
2025;0250457 000036/2025;0;;Dispensa de Licitação - Por valor;;;
2025;0250457 000037/2025;0;;Pregão;https://www1.compras.mg.gov.br/processocompra/processo/consultaEditalRetificaoProcesso.html?metodo=visualizarEditalRetificao&id=637081;;
2025;0250457 000038/2025;0;;Dispensa de Licitação - Por valor;;;
2025;0250457 000039/2025;9484349;Serviço;Dispensa de Licitação - Por valor;;https://www1.compras.mg.gov.br/contrato/gestaocontratos/arquivosContrato.html?idContrato=199659;
2025;0250457 000040/2025;0;;Registro de preços não realizado no SIRP;;;
2025;0250457 000041/2025;9492479;Serviço;Pregão;https://www1.compras.mg.gov.br/processocompra/processo/consultaEditalRetificaoProcesso.html?metodo=visualizarEditalRetificao&id=637496;https://www1.compras.mg.gov.br/contrato/gestaocontratos/arquivosContrato.html?idContrato=204878;
2025;0250457 000042/2025;0;;Dispensa de Licitação - Por valor;;;
2025;0250457 000043/2025;0;;Registro de preços realizado no SIRP;;;
2025;0250457 000044/2025;0;;Dispensa de Licitação - Por valor;;;
2025;0250457 000045/2025;0;;Registro de preços realizado no SIRP;;;
2025;0250457 000046/2025;0;;Registro de preços realizado no SIRP;;;
2025;0250457 000047/2025;0;;Registro de preços realizado no SIRP;;;
2025;0250457 000048/2025;0;;Registro de preços não realizado no SIRP;;;
2025;0250457 000049/2025;9487807;Serviço;Dispensa de Licitação - Por valor;;https://www1.compras.mg.gov.br/contrato/gestaocontratos/arquivosContrato.html?idContrato=199997;
2025;0250457 000050/2025;0;;Registro de preços realizado no SIRP;;;
2025;0250457 000051/2025;9488051;Fornecimento;Dispensa de Licitação - Por valor;;https://www1.compras.mg.gov.br/contrato/gestaocontratos/arquivosContrato.html?idContrato=199996;
2025;0250457 000052/2025;0;;Dispensa de Licitação - Por valor;;;
2025;0250457 000053/2025;9492670;Serviço;Dispensa de Licitação - Por valor;;https://www1.compras.mg.gov.br/contrato/gestaocontratos/arquivosContrato.html?idContrato=205149;
2025;0250457 000054/2025;9491813;Serviço;Dispensa de Licitação - Por valor;;https://www1.compras.mg.gov.br/contrato/gestaocontratos/arquivosContrato.html?idContrato=202657;
2025;0250457 000056/2025;9492961;Serviço;Registro de preços realizado no SIRP;;https://www1.compras.mg.gov.br/contrato/gestaocontratos/arquivosContrato.html?idContrato=206859;
2025;0500005 000001/2025;0;;Pregão;https://www1.compras.mg.gov.br/processocompra/processo/consultaEditalRetificaoProcesso.html?metodo=visualizarEditalRetificao&id=618866;;47,0
2025;0500005 000001/2025;9469623;Fornecimento;Pregão;https://www1.compras.mg.gov.br/processocompra/processo/consultaEditalRetificaoProcesso.html?metodo=visualizarEditalRetificao&id=618866;https://www1.compras.mg.gov.br/contrato/gestaocontratos/arquivosContrato.html?idContrato=195571;47,0
